rank,team,salary,salary(Inflation),Year
1,Boston,"25,343,000","48,039,325",1992
2,Cleveland,"16,882,000","32,000,942",1992
3,Chicago,"16,829,000","31,900,476",1992
4,LA Lakers,"15,673,000","29,709,201",1992
5,Detroit,"15,428,000","29,244,786",1992
6,Indiana,"15,090,000","28,604,086",1992
7,Philadelphia,"14,058,000","26,647,862",1992
8,Phoenix,"13,593,000","25,766,425",1992
9,Oklahoma City,"13,308,000","25,226,187",1992
10,Houston,"13,274,000","25,161,740",1992
11,Dallas,"13,004,000","24,649,936",1992
12,LA Clippers,"12,976,000","24,596,860",1992
13,Atlanta,"12,930,000","24,509,666",1992
14,Utah,"12,761,000","24,189,312",1992
15,Portland,"12,742,000","24,153,296",1992
16,Washington,"12,633,000","23,946,680",1992
17,Charlotte,"12,625,000","23,931,516",1992
18,Brooklyn,"12,598,000","23,880,337",1992
19,Golden State,"12,500,000","23,694,571",1992
20,Sacramento,"12,492,000","23,679,405",1992
21,Milwaukee,"12,451,000","23,601,687",1992
22,New York,"12,399,000","23,503,118",1992
23,Orlando,"12,250,000","23,220,680",1992
24,Denver,"11,879,000","22,517,422",1992
25,San Antonio,"11,587,000","21,963,918",1992
26,Miami,"11,514,000","21,825,542",1992
27,Minnesota,"10,763,000","20,401,972",1992
