rank,team,salary,salary(Inflation),Year
1,Cleveland,"128,522,489","137,469,857",2017
2,Portland,"119,732,234","128,067,649",2017
3,LA Clippers,"114,756,766","122,745,802",2017
4,San Antonio,"112,017,779","119,816,133",2017
5,Memphis,"110,083,520","117,747,216",2017
6,Toronto,"108,599,970","116,160,386",2017
7,Detroit,"106,492,988","113,906,724",2017
8,Orlando,"104,096,951","111,343,881",2017
9,Washington,"104,016,580","111,257,914",2017
10,Charlotte,"103,054,004","110,228,324",2017
11,New York,"102,593,418","109,735,673",2017
12,Dallas,"102,354,966","109,480,619",2017
13,New Orleans,"101,616,451","108,690,692",2017
14,Golden State,"101,584,835","108,656,876",2017
15,Miami,"100,740,770","107,754,051",2017
16,Atlanta,"96,315,163","103,020,345",2017
17,Milwaukee,"96,245,877","102,946,239",2017
18,Sacramento,"95,596,327","102,251,465",2017
19,LA Lakers,"94,781,848","101,380,286",2017
20,Boston,"93,465,326","99,972,111",2017
21,Chicago,"92,522,306","98,963,441",2017
22,Oklahoma City,"91,230,089","97,581,263",2017
23,Houston,"90,956,067","97,288,163",2017
24,Indiana,"90,279,072","96,564,039",2017
25,Phoenix,"89,754,590","96,003,042",2017
26,Philadelphia,"84,775,343","90,677,150",2017
27,Denver,"83,836,460","89,672,906",2017
28,Minnesota,"83,527,580","89,342,526",2017
29,Brooklyn,"82,391,482","88,127,334",2017
30,Utah,"80,138,192","85,717,182",2017
