rank,team,salary,salary(Inflation),Year
1,Chicago,"58,270,000","95,863,626",1997
2,Orlando,"40,149,100","66,051,793",1997
3,Indiana,"39,480,000","64,951,017",1997
4,Phoenix,"36,140,000","59,456,173",1997
5,Washington,"34,940,000","57,481,977",1997
6,Golden State,"31,087,000","51,143,164",1997
7,San Antonio,"30,785,500","50,647,150",1997
8,Oklahoma City,"30,301,500","49,850,891",1997
9,LA Lakers,"28,838,500","47,444,018",1997
10,Sacramento,"27,820,200","45,768,748",1997
11,Detroit,"26,848,500","44,170,146",1997
12,Houston,"26,275,000","43,226,643",1997
13,Dallas,"26,107,500","42,951,076",1997
14,New York,"25,923,500","42,648,370",1997
15,Boston,"25,853,500","42,533,206",1997
16,Atlanta,"25,806,100","42,455,225",1997
17,Brooklyn,"25,426,600","41,830,889",1997
18,Utah,"25,267,000","41,568,318",1997
19,Portland,"24,903,500","40,970,303",1997
20,Milwaukee,"24,222,500","39,849,949",1997
21,Minnesota,"24,100,500","39,649,235",1997
22,Philadelphia,"23,669,500","38,940,172",1997
23,LA Clippers,"23,336,500","38,392,332",1997
24,Miami,"22,421,000","36,886,184",1997
25,Denver,"21,243,300","34,948,679",1997
26,Charlotte,"20,975,500","34,508,101",1997
27,Cleveland,"18,867,500","31,040,100",1997
